"Call Tree","Time (ms)","Level"
"<All threads>","1049","1"
"java.lang.Thread.run()","726","2"
"Thread.java:748 java.util.concurrent.ThreadPoolExecutor$Worker.run()","726","3"
"ThreadPoolExecutor.java:624 java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor$Worker)","726","4"
"ThreadPoolExecutor.java:1149 java.util.concurrent.FutureTask.run()","726","5"
"FutureTask.java:266 java.util.concurrent.Executors$RunnableAdapter.call()","726","6"
"Executors.java:511 java.util.concurrent.FutureTask.run()","726","7"
"FutureTask.java:266 org.openjdk.jmh.runner.BenchmarkHandler$BenchmarkTask.call()","726","8"
"BenchmarkHandler.java:437 org.openjdk.jmh.runner.BenchmarkHandler$BenchmarkTask.call()","726","9"
"BenchmarkHandler.java:453 java.lang.reflect.Method.invoke(Object, Object[])","726","10"
"Method.java:498 sun.reflect.DelegatingMethodAccessorImpl.invoke(Object, Object[])","726","11"
"DelegatingMethodAccessorImpl.java:43 sun.reflect.NativeMethodAccessorImpl.invoke(Object, Object[])","726","12"
"NativeMethodAccessorImpl.java:62 sun.reflect.NativeMethodAccessorImpl.invoke0(Method, Object, Object[])","726","13"
"NativeMethodAccessorImpl.java (native) eu.prismacloud.primitives.grs.bench.generated.SetupEncodingBenchmark_measureSetupEncoding_jmhTest.measureSetupEncoding_SingleShotTime(InfraControl, ThreadParams)","726","14"
"SetupEncodingBenchmark_measureSetupEncoding_jmhTest.java:368 eu.prismacloud.primitives.grs.bench.generated.SetupEncodingBenchmark_measureSetupEncoding_jmhTest.measureSetupEncoding_ss_jmhStub(InfraControl, RawResults, BenchmarkParams, IterationParams, ThreadParams, Blackhole, Control, int, int, SetupEncodingBenchmark_jmhType)","702","15"
"SetupEncodingBenchmark_measureSetupEncoding_jmhTest.java:412 eu.prismacloud.primitives.grs.bench.SetupEncodingBenchmark.measureSetupEncoding(Blackhole)","702","16"
"SetupEncodingBenchmark.java:128 java.math.BigInteger.nextProbablePrime()","702","17"
"BigInteger.java:820 java.math.BigInteger.primeToCertainty(int, Random)","693","18"
"BigInteger.java:876 java.math.BigInteger.passesMillerRabin(int, Random)","693","19"
"BigInteger.java:1036 java.math.BigInteger.modPow(BigInteger, BigInteger)","579","20"
"BigInteger.java:2603 java.math.BigInteger.oddModPow(BigInteger, BigInteger)","572","21"
"BigInteger.java:2830 java.math.BigInteger.leftShift(int[], int, int)","151","22"
"BigInteger.java:2471","104","23"
"BigInteger.java:2460 java.math.BigInteger.bitLengthForInt(int)","23","23"
"BigInteger.java:2450","23","24"
"BigInteger.java:2470 java.math.BigInteger.primitiveLeftShift(int[], int, int)","15","23"
"BigInteger.java:2499","7","24"
"BigInteger.java:2500","7","24"
"BigInteger.java:2470","7","23"
"BigInteger.java:2928 java.math.BigInteger.montgomeryMultiply(int[], int[], int[], int, long, int[])","66","22"
"BigInteger.java:2661","39","23"
"BigInteger.java:2655 java.math.BigInteger.implMontgomeryMultiplyChecks(int[], int[], int[], int, int[])","19","23"
"BigInteger.java:2687","19","24"
"BigInteger.java:2661 java.math.BigInteger.implMontgomeryMultiply(int[], int[], int[], int, long, int[])","7","23"
"BigInteger.java:2709","7","24"
"BigInteger.java:2850 java.math.BigInteger.montgomerySquare(int[], int[], int, long, int[])","49","22"
"BigInteger.java:2672 java.math.BigInteger.implMontgomerySquare(int[], int[], int, long, int[])","49","23"
"BigInteger.java:2713 java.math.BigInteger.squareToLen(int[], int, int[])","49","24"
"BigInteger.java:2008","30","25"
"BigInteger.java:2012 java.math.BigInteger.implSquareToLen(int[], int, int[], int)","18","25"
"BigInteger.java:2084","9","26"
"BigInteger.java:2081","9","26"
"BigInteger.java:2838 java.math.MutableBigInteger.divide(MutableBigInteger, MutableBigInteger)","40","22"
"MutableBigInteger.java:1147 java.math.MutableBigInteger.divide(MutableBigInteger, MutableBigInteger, boolean)","40","23"
"MutableBigInteger.java:1153 java.math.MutableBigInteger.divideKnuth(MutableBigInteger, MutableBigInteger, boolean)","40","24"
