"Call Tree","Time (ms)","Level"
"eu.prismacloud.primitives.grs.bench.IssuingBenchmark.SerializeGSBenchmark.issuing-jmh-worker-1 Group: 'main' Native ID: 1920","2640","1"
"java.lang.Thread.run()","2640","2"
"Thread.java:748 java.util.concurrent.ThreadPoolExecutor$Worker.run()","2640","3"
"ThreadPoolExecutor.java:624 java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor$Worker)","2640","4"
"ThreadPoolExecutor.java:1149 java.util.concurrent.FutureTask.run()","2640","5"
"FutureTask.java:266 java.util.concurrent.Executors$RunnableAdapter.call()","2640","6"
"Executors.java:511 java.util.concurrent.FutureTask.run()","2640","7"
"FutureTask.java:266 org.openjdk.jmh.runner.BenchmarkHandler$BenchmarkTask.call()","2640","8"
"BenchmarkHandler.java:437 org.openjdk.jmh.runner.BenchmarkHandler$BenchmarkTask.call()","2640","9"
"BenchmarkHandler.java:453 java.lang.reflect.Method.invoke(Object, Object[])","2640","10"
"Method.java:498 sun.reflect.DelegatingMethodAccessorImpl.invoke(Object, Object[])","2640","11"
"DelegatingMethodAccessorImpl.java:43 sun.reflect.NativeMethodAccessorImpl.invoke(Object, Object[])","2640","12"
"NativeMethodAccessorImpl.java:62 sun.reflect.NativeMethodAccessorImpl.invoke0(Method, Object, Object[])","2640","13"
"NativeMethodAccessorImpl.java (native) eu.prismacloud.primitives.grs.bench.generated.IssuingBenchmark_SerializeGSBenchmark_issuing_jmhTest.issuing_SingleShotTime(InfraControl, ThreadParams)","2640","14"
"IssuingBenchmark_SerializeGSBenchmark_issuing_jmhTest.java:653 eu.prismacloud.primitives.grs.bench.generated.IssuingBenchmark_SerializeGSBenchmark_issuing_jmhTest.issuing_ss_jmhStub(InfraControl, RawResults, BenchmarkParams, IterationParams, ThreadParams, Blackhole, Control, int, int, IssuingBenchmark_SerializeGSBenchmark_jmhType)","2640","15"
"IssuingBenchmark_SerializeGSBenchmark_issuing_jmhTest.java:696 eu.prismacloud.primitives.grs.bench.IssuingBenchmark$SerializeGSBenchmark.issuing(IssuingBenchmark$SerializeGSBenchmark)","2340","16"
"IssuingBenchmark.java:303 eu.prismacloud.primitives.zkpgs.orchestrator.SignerOrchestrator.round2()","1340","17"
"SignerOrchestrator.java:302 eu.prismacloud.primitives.zkpgs.orchestrator.SignerOrchestrator.createPartialSignature(SignerOrchestrator$SignatureData, ExtendedPublicKey)","608","18"
"SignerOrchestrator.java:441 eu.prismacloud.primitives.zkpgs.orchestrator.SignerOrchestrator$SignatureData.computeRandomPrimeE()","304","19"
"SignerOrchestrator.java:191 eu.prismacloud.primitives.zkpgs.util.CryptoUtilsFacade.computePrimeInRange(BigInteger, BigInteger)","304","20"
"CryptoUtilsFacade.java:67 eu.prismacloud.primitives.zkpgs.util.GSUtils.generatePrimeInRange(BigInteger, BigInteger)","304","21"
"GSUtils.java:186 eu.prismacloud.primitives.zkpgs.util.GSUtils.generatePrimeWithPositiveMin(BigInteger, BigInteger)","304","22"
"GSUtils.java:214 eu.prismacloud.primitives.zkpgs.util.GSUtils.isPrime(BigInteger)","284","23"
"GSUtils.java:715 java.math.BigInteger.isProbablePrime(int)","284","24"
"BigInteger.java:3601 java.math.BigInteger.primeToCertainty(int, Random)","284","25"
"BigInteger.java:892 java.math.BigInteger.passesMillerRabin(int, Random)","260","26"
