"Call Tree","Time (ms)","Level"
"eu.prismacloud.primitives.grs.bench.SetupEncodingBenchmark.measureSetupEncoding-jmh-worker-1 Group: 'main' Native ID: 2657681","466","1"
"java.lang.Thread.run()","466","2"
"Thread.java:748 java.util.concurrent.ThreadPoolExecutor$Worker.run()","466","3"
"ThreadPoolExecutor.java:624 java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor$Worker)","466","4"
"ThreadPoolExecutor.java:1149 java.util.concurrent.FutureTask.run()","466","5"
"FutureTask.java:266 java.util.concurrent.Executors$RunnableAdapter.call()","466","6"
"Executors.java:511 java.util.concurrent.FutureTask.run()","466","7"
"FutureTask.java:266 org.openjdk.jmh.runner.BenchmarkHandler$BenchmarkTask.call()","466","8"
"BenchmarkHandler.java:437 org.openjdk.jmh.runner.BenchmarkHandler$BenchmarkTask.call()","466","9"
"BenchmarkHandler.java:453 java.lang.reflect.Method.invoke(Object, Object[])","466","10"
"Method.java:498 sun.reflect.DelegatingMethodAccessorImpl.invoke(Object, Object[])","466","11"
"DelegatingMethodAccessorImpl.java:43 sun.reflect.NativeMethodAccessorImpl.invoke(Object, Object[])","466","12"
"NativeMethodAccessorImpl.java:62 sun.reflect.NativeMethodAccessorImpl.invoke0(Method, Object, Object[])","466","13"
"NativeMethodAccessorImpl.java (native) eu.prismacloud.primitives.grs.bench.generated.SetupEncodingBenchmark_measureSetupEncoding_jmhTest.measureSetupEncoding_SingleShotTime(InfraControl, ThreadParams)","466","14"
"SetupEncodingBenchmark_measureSetupEncoding_jmhTest.java:368 eu.prismacloud.primitives.grs.bench.generated.SetupEncodingBenchmark_measureSetupEncoding_jmhTest.measureSetupEncoding_ss_jmhStub(InfraControl, RawResults, BenchmarkParams, IterationParams, ThreadParams, Blackhole, Control, int, int, SetupEncodingBenchmark_jmhType)","431","15"
"SetupEncodingBenchmark_measureSetupEncoding_jmhTest.java:412 eu.prismacloud.primitives.grs.bench.SetupEncodingBenchmark.measureSetupEncoding(Blackhole)","431","16"
"SetupEncodingBenchmark.java:128 java.math.BigInteger.nextProbablePrime()","419","17"
"BigInteger.java:820 java.math.BigInteger.primeToCertainty(int, Random)","407","18"
"BigInteger.java:876 java.math.BigInteger.passesMillerRabin(int, Random)","407","19"
"BigInteger.java:1036 java.math.BigInteger.modPow(BigInteger, BigInteger)","347","20"
"BigInteger.java:2603 java.math.BigInteger.oddModPow(BigInteger, BigInteger)","337","21"
"BigInteger.java:2830 java.math.BigInteger.leftShift(int[], int, int)","87","22"
"BigInteger.java:2471","42","23"
"BigInteger.java:2469","33","23"
"BigInteger.java:2460 java.math.BigInteger.bitLengthForInt(int)","11","23"
"BigInteger.java:2450","11","24"
